Series,Series_index,Subject,a,b or above,c or above,d or above,e or above,ungraded
2017 June,30,Travel and Tourism,1.5,8.5,22.8,45.8,66.8,33.2
2021 June,0,Accounting,43.0,57.7,69.9,80.6,88.9,11.1
2021 June,1,Arabic Language,76.7,90.9,95.7,98.7,100.0,0.0
2021 June,2,Art and Design,23.2,42.8,62.9,77.9,89.8,10.2
2021 June,3,Biology,40.4,56.3,70.8,81.8,90.0,10.0
2021 June,4,Business,26.7,43.5,59.4,72.3,82.7,17.3
2021 June,5,Chemistry,50.8,66.7,79.2,88.5,94.9,5.1
2021 June,6,Computer Science,40.5,56.5,68.7,77.9,85.6,14.4
2021 June,7,Digital Media and Design,11.9,25.0,42.4,67.7,88.2,11.8
2021 June,8,Drama,18.7,33.5,56.5,80.1,92.8,7.2
2021 June,9,Economics,44.6,59.8,72.3,82.3,89.9,10.1
2021 June,10,English Language,11.5,25.7,45.3,67.7,84.0,16.0
2021 June,11,Environmental Management,11.2,29.2,51.4,70.0,83.8,16.2
2021 June,12,French Language,38.7,54.5,67.1,77.1,87.2,12.8
2021 June,13,Further Mathematics,67.2,81.8,88.9,94.2,96.7,3.3
2021 June,14,General Paper,13.5,28.7,49.3,69.9,84.9,15.1
2021 June,15,Geography,23.8,38.4,53.5,68.7,80.3,19.7
2021 June,16,Global Perspectives & Research,19.3,41.9,68.5,84.8,94.1,5.9
2021 June,17,Hindi Language,48.6,68.7,88.1,94.7,99.2,0.8
2021 June,18,Hinduism,52.0,78.9,88.8,96.7,98.0,2.0
2021 June,19,History,7.4,18.6,33.2,49.9,67.2,32.8
2021 June,20,Information Technology,34.9,52.7,67.7,78.5,87.4,12.6
2021 June,22,Language and Literature in English,7.6,21.7,39.3,60.0,81.2,18.8
2021 June,23,Law,26.7,41.9,52.4,61.5,70.7,29.3
2021 June,24,Literature in English,11.5,22.9,42.3,64.4,82.2,17.8
2021 June,25,Marine Science,8.3,21.4,39.7,58.6,77.7,22.3
2021 June,26,Mathematics,43.7,59.2,71.5,81.3,88.5,11.5
2021 June,27,Media Studies,7.5,19.2,40.5,63.2,81.0,19.0
2021 June,28,Music,27.3,47.4,64.2,74.1,85.8,14.2
2021 June,29,Physical Education,9.0,16.8,25.5,37.7,53.2,46.8
2021 June,30,Physics,51.9,67.7,80.1,88.8,94.4,5.6
2021 June,31,Psychology,22.1,35.6,51.2,64.7,76.7,23.3
2021 June,32,Sociology,16.1,28.9,44.4,60.0,72.7,27.3
2021 June,33,Spanish Language,52.3,71.3,84.2,91.2,95.7,4.3
2021 June,34,Spanish Literature,24.6,52.3,73.4,81.3,84.0,16.0
2021 June,35,Thinking Skills,9.9,23.4,42.3,63.8,83.7,16.3
2021 June,36,Travel and Tourism,12.4,30.2,51.4,69.5,84.0,16.0
2021 June,37,Urdu Language,89.2,98.3,100.0,100.0,100.0,0.0
2020 March,0,Accounting,28.6,39.8,52.5,66.8,78.6,21.4
2020 March,1,Biology,22.8,38.2,53.1,71.1,83.7,16.3
2020 March,2,Business,14.9,30.8,46.4,58.9,71.0,29.0
2020 March,3,Chemistry,24.4,35.6,50.0,65.8,79.2,20.8
2020 March,4,Economics,24.8,37.8,50.8,63.8,77.8,22.2
2020 March,5,English Language,10.2,20.8,34.3,47.5,63.6,36.4
2020 March,6,Information Technology,13.6,19.3,32.0,44.7,58.8,41.2
2020 March,7,Mathematics,22.7,39.3,59.6,73.2,81.9,18.1
2020 March,8,Physics,24.4,36.0,54.6,69.9,79.6,20.4
2020 March,9,Psychology,22.3,39.4,56.8,68.9,79.5,20.5
2021 March,0,Accounting,36.4,48.1,58.4,68.8,80.5,19.5
2021 March,1,Biology,30.3,44.3,58.5,73.2,85.0,15.0
2021 March,2,Business,28.3,45.7,60.8,70.7,80.4,19.6
2021 March,3,Chemistry,29.1,45.6,60.9,73.5,86.8,13.2
2021 March,4,Economics,30.2,40.2,52.5,67.1,79.0,21.0
2021 March,5,English Language,19.9,31.4,45.7,60.1,75.0,25.0
2021 March,6,General Paper,14.1,34.1,55.9,76.8,90.1,9.9
2021 March,7,Information Technology,18.8,32.4,46.5,57.1,70.6,29.4
2021 March,8,Mathematics,34.3,51.5,66.7,78.7,86.5,13.5
2021 March,9,Physics,32.5,45.9,60.9,74.7,88.3,11.7
2021 March,10,Psychology,42.2,55.6,66.1,80.6,88.3,11.7
2020 November,0,Accounting,30.6,45.1,59.7,73.3,87.4,12.6
2020 November,1,Afrikaans Language,38.6,55.5,73.6,88.0,97.2,2.8
2020 November,2,Art and Design,18.7,41.6,65.5,82.4,94.5,5.5
2020 November,3,Biology,40.6,56.7,71.5,83.8,92.5,7.5
2020 November,4,Business,18.6,33.7,50.6,65.5,77.3,22.7
2020 November,5,Chemistry,40.3,56.0,69.8,81.7,92.3,7.7
2020 November,6,Chinese Language,87.0,91.1,96.1,97.9,99.5,0.5
2020 November,7,Classical Studies,14.7,30.0,49.2,67.1,84.1,15.9
2020 November,8,Computer Science,26.0,39.8,55.4,71.1,84.0,16.0
2020 November,9,Design and Technology,19.8,41.9,66.6,82.4,93.0,7.0
2020 November,10,Digital Media and Design,27.6,44.0,69.0,87.9,94.0,6.0
2020 November,11,Economics,27.6,43.8,59.9,74.6,87.0,13.0
2020 November,12,English Language,14.7,31.8,49.9,67.6,83.0,17.0
2020 November,13,Environmental Management,23.9,38.1,61.1,70.8,85.0,15.0
2020 November,14,French Language,41.3,55.9,70.9,85.0,93.9,6.1
2020 November,15,Further Mathematics,75.0,83.1,89.9,93.6,96.6,3.4
2020 November,16,General Paper,17.5,39.5,65.2,85.0,94.2,5.8
2020 November,17,Geography,32.4,47.5,63.6,77.8,87.3,12.7
2020 November,18,German Language,43.2,71.6,91.7,99.6,99.6,0.4
2020 November,19,Global Perspectives & Research,14.0,33.9,62.1,85.8,97.8,2.2
2020 November,20,History,16.2,31.2,48.0,63.3,75.7,24.3
2020 November,21,Information Technology,14.2,29.9,48.3,64.3,77.3,22.7
2020 November,22,Language and Literature in English,11.3,20.0,35.8,61.1,78.1,21.9
2020 November,23,Law,18.8,34.3,48.9,61.9,73.5,26.5
2020 November,25,Literature in English,29.9,45.4,64.6,80.8,90.2,9.8
2020 November,26,Marine Science,9.1,15.9,23.3,36.4,59.1,40.9
2020 November,27,Mathematics,38.2,55.1,70.2,81.8,90.7,9.3
2020 November,28,Media Studies,30.9,50.4,73.4,88.5,97.8,2.2
2020 November,29,Physical Education,32.5,49.1,65.0,81.2,93.2,6.8
2020 November,30,Physics,44.3,58.9,71.9,83.6,92.7,7.3
2020 November,31,Psychology,30.0,48.7,64.2,77.2,88.0,12.0
2020 November,32,Sociology,18.4,32.9,47.6,62.0,76.4,23.6
2020 November,33,Spanish Language,48.0,57.8,72.5,87.3,97.1,2.9
2020 November,34,Thinking Skills,9.5,18.2,31.1,44.1,62.8,37.2
2020 November,35,Travel and Tourism,10.5,27.8,43.5,64.6,83.1,16.9
2020 November,36,Urdu Language,79.0,89.0,96.0,98.0,99.0,1.0
